y_predicted_descaled_tempC,y_predicted_descaled_windspeedKmph,y_predicted_descaled_pressure,y_predicted_descaled_humidity
28.701778,8.728691,1001.1186,9.930826
28.23719,9.835327,1001.4784,10.855147
27.645401,10.452996,1001.9727,12.215922
27.760021,10.260322,1002.37067,13.003858
28.775702,8.819142,1002.64276,12.965074
30.276203,7.17964,1002.9726,12.187299
32.534378,5.5472307,1003.39343,10.961848
35.82573,4.334308,1003.7569,9.433515
39.403625,3.5750556,1003.8732,7.714649
42.10377,3.4222882,1003.62134,6.1713142
43.570538,4.046948,1002.9132,5.381111
43.761078,4.71449,1001.7981,5.530593
43.460213,5.50935,1000.64685,6.088092
42.91826,7.0002975,999.9228,6.5477858
41.848015,8.528146,999.8004,6.962599
40.38107,9.333592,1000.1104,7.508054
38.660923,10.071755,1000.60986,8.190073
36.558975,10.685482,1001.1446,9.091149
34.500134,10.829698,1001.6698,10.140118
33.12674,10.634397,1002.2174,11.177315
32.151928,10.236046,1002.70624,12.182858
31.109564,9.741391,1002.9285,13.196784
30.084927,8.980907,1002.8803,14.211109
29.116652,7.7262664,1002.79175,15.186552
28.238132,6.368458,1002.88104,16.088524
27.70748,4.870037,1003.24884,16.785904
27.630505,3.5366223,1003.82764,17.016392
28.062534,2.553189,1004.4199,16.661196
29.662777,2.5339105,1004.90247,15.729277
32.18551,3.0732386,1005.26953,14.215505
34.679276,4.0042458,1005.5386,12.507009
37.004402,4.8480444,1005.64777,11.101718
38.9438,5.5201664,1005.5619,10.16165
40.714935,5.5278163,1005.3278,9.377712
42.011696,4.8764925,1004.9128,8.619506
42.46028,3.8823178,1004.2652,8.210867
42.563454,2.7589095,1003.4706,8.3636465
42.271553,2.2965443,1002.75964,8.870421
41.18373,2.4162676,1002.3205,9.379085
39.449364,2.7378652,1002.1028,9.857001
37.43298,3.2888987,1002.07275,10.945867
35.321533,4.0211573,1002.2279,12.750748
33.517464,5.297983,1002.56335,14.252556
32.25071,6.602626,1002.97144,14.957622
31.327572,7.8586073,1003.20557,15.409467
30.642021,9.104964,1003.1723,16.441442
30.047462,10.580407,1003.0271,18.997942
29.295143,11.333041,1002.96466,22.721096
28.637775,11.294192,1003.0244,26.11905
28.140888,10.280509,1003.1289,29.769108
27.636242,8.392928,1003.2149,33.23986
27.714417,7.0714197,1003.3437,35.11107
28.770882,6.8898134,1003.69745,34.372513
30.265705,7.4504375,1004.3461,31.621819
32.262558,7.4397817,1004.97345,27.873365
34.904427,6.8388968,1005.1751,23.855385
37.671272,6.398657,1004.96606,19.75103
39.694046,6.1623697,1004.5452,16.211609
40.71818,6.3624783,1003.85724,14.441745
40.785515,6.659214,1002.7894,14.447663
40.60696,6.8934875,1001.5886,14.577561
40.491547,6.648883,1000.6371,14.2806015
39.983444,6.3486676,1000.15094,14.298959
38.92373,6.125106,1000.1282,14.981004
37.346325,6.1419964,1000.3486,16.289495
35.298668,6.4173284,1000.5238,18.080423
33.59236,7.6771,1000.58234,19.635248
32.736683,9.786914,1000.7174,20.507442
32.214092,11.962851,1001.0823,21.089504
31.674482,13.745526,1001.5667,21.542778
31.164337,14.627003,1001.8984,21.52326
30.681366,14.555682,1001.81934,21.524284
30.053116,14.016939,1001.44696,21.857952
29.14831,11.555343,1001.34515,22.509478
28.3974,9.082981,1001.7803,23.011621
28.745426,6.719812,1002.3194,22.63189
30.356579,5.507663,1002.56964,21.197346
